route,origin,destination,distance_km,aircraft_type,flights_per_month
AMS-JFK,Amsterdam,New York JFK,5857,777-300ER,90
AMS-LAX,Amsterdam,Los Angeles,8757,787-9,45
AMS-ORD,Amsterdam,Chicago,7120,787-9,45
AMS-IAD,Amsterdam,Washington,6223,787-9,45
AMS-BOS,Amsterdam,Boston,5765,787-9,45
AMS-ATL,Amsterdam,Atlanta,7842,787-9,30
AMS-MIA,Amsterdam,Miami,8346,787-9,30
AMS-MSP,Amsterdam,Minneapolis,7620,787-9,30
AMS-SFO,Amsterdam,San Francisco,8926,787-9,30
AMS-LAS,Amsterdam,Las Vegas,9130,787-9,15
AMS-AUS,Amsterdam,Austin,8750,787-9,15
AMS-SLC,Amsterdam,Salt Lake City,9000,787-9,15
AMS-YYZ,Amsterdam,Toronto,6010,777-300ER,45
AMS-YVR,Amsterdam,Vancouver,8230,787-9,30
AMS-YUL,Amsterdam,Montreal,5888,787-9,30
AMS-YYC,Amsterdam,Calgary,7880,787-9,15
AMS-YEG,Amsterdam,Edmonton,8050,787-9,15
AMS-GRU,Amsterdam,Sao Paulo,9761,777-300ER,30
AMS-GIG,Amsterdam,Rio de Janeiro,9640,777-300ER,15
AMS-EZE,Amsterdam,Buenos Aires,11360,777-300ER,15
AMS-SCL,Amsterdam,Santiago,11670,777-300ER,15
AMS-LIM,Amsterdam,Lima,10170,777-300ER,15
AMS-BOG,Amsterdam,Bogota,9470,777-300ER,15
AMS-CTG,Amsterdam,Cartagena,9600,777-300ER,15
AMS-MEX,Amsterdam,Mexico City,9310,777-300ER,30
AMS-CUN,Amsterdam,Cancun,9000,777-300ER,15
AMS-PTY,Amsterdam,Panama City,9220,777-300ER,15
AMS-SJO,Amsterdam,San Jose,9620,777-300ER,15
AMS-PBM,Amsterdam,Paramaribo,7720,777-300ER,15
AMS-CUR,Amsterdam,Curacao,8570,777-300ER,30
AMS-SXM,Amsterdam,Sint Maarten,7810,777-300ER,15
AMS-AUA,Amsterdam,Aruba,8540,777-300ER,15
AMS-BON,Amsterdam,Bonaire,8590,777-300ER,15
AMS-NRT,Amsterdam,Tokyo Narita,9350,777-300ER,45
AMS-KIX,Amsterdam,Osaka,9630,777-300ER,30
AMS-HKG,Amsterdam,Hong Kong,9360,777-300ER,45
AMS-SIN,Amsterdam,Singapore,10840,787-9,45
AMS-DPS,Amsterdam,Bali,12260,787-9,30
AMS-CGK,Amsterdam,Jakarta,11730,787-9,30
AMS-KUL,Amsterdam,Kuala Lumpur,10820,787-9,30
AMS-MNL,Amsterdam,Manila,11170,787-9,30
AMS-PEK,Amsterdam,Beijing,7820,777-300ER,30
AMS-PVG,Amsterdam,Shanghai,9200,777-300ER,30
AMS-ICN,Amsterdam,Seoul,8720,777-300ER,30
AMS-TPE,Amsterdam,Taipei,9560,787-9,30
AMS-BKK,Amsterdam,Bangkok,9560,787-9,45
AMS-DEL,Amsterdam,Delhi,6870,787-9,45
AMS-BOM,Amsterdam,Mumbai,7260,787-9,30
AMS-BLR,Amsterdam,Bangalore,8170,787-9,30
AMS-HYD,Amsterdam,Hyderabad,8010,787-9,15
AMS-DXB,Amsterdam,Dubai,5182,777-300ER,60
AMS-RUH,Amsterdam,Riyadh,5140,777-300ER,30
AMS-DMM,Amsterdam,Dammam,5230,777-300ER,15
